Date of Breach,Organization,Country,Industry,Type of Breach,Data Compromised,People Affected,Cause,Measures Taken,Attack Vector,Duration of Breach (Days),Detection Method,Time to Contain (Days),Financial Impact (Million $),Legal Actions Taken,Regulatory Fines (Million $),Compensation to Users,Public Trust Impact,Employee Involvement,Encryption Status,Third-party Involvement,CISO Resignation,Stock Price Impact (%),Lawsuits Filed,Recovery Cost (Million $),Breach Announced,User Notification
2009-03-21,Google,Germany,Finance,Insider Threat,SSNs,3639716,Insider Threat,Security Patch,Social Engineering,2789,Law Enforcement,51,347.56,No,19.37,No,Medium,None,Encrypted,Yes,Yes,-42.19,70,176.89,Never Disclosed,Email
2024-07-19,Adobe,Australia,Hospitality,Malware,"Usernames, Credit Cards, Passwords",9834177,Malware,Legal Action,Email,2529,User Report,75,195.03,No,24.4,No,Medium,Malicious,Encrypted,No,No,-39.17,39,104.38,Delayed,Email
2010-10-01,Equifax,Canada,Education,Weak Passwords,"Passwords, Medical Records, Phone Numbers",7325413,Weak Passwords,Public Disclosure,USB Drive,72,Internal Audit,44,407.61,No,7.57,Yes,High,Accidental,Encrypted,Yes,Yes,-46.56,1,260.98,Delayed,Press Release
2018-11-12,Google,Germany,Government,Malware,"Usernames, SSNs",5754324,Malware,Security Patch,Email,832,Internal Audit,21,248.99,No,5.51,No,High,None,Partially Encrypted,No,Yes,-36.21,68,232.78,Delayed,Not Notified
2017-11-02,Target,USA,Hospitality,Ransomware,"SSNs, Usernames",4081234,Ransomware,Fined,Cloud Misconfig,2665,User Report,42,453.2,No,1.37,No,High,Accidental,Partially Encrypted,Yes,Yes,-23.13,20,228.71,Immediately,Email
2015-11-17,Facebook,Australia,Technology,Ransomware,"Usernames, Emails",7417938,Ransomware,Customer Compensation,API Vulnerability,2664,External Report,80,489.4,No,19.14,No,Medium,None,Encrypted,No,No,-21.72,28,62.47,Delayed,SMS
2024-04-05,LinkedIn,India,Education,Data Leak,"Phone Numbers, Medical Records, SSNs",6648611,Data Leak,Fined,Web Exploit,2175,Law Enforcement,64,191.23,Yes,11.35,No,Medium,Malicious,Partially Encrypted,Yes,Yes,-32.46,75,87.83,Never Disclosed,Email
2015-10-18,Google,Brazil,Healthcare,Data Leak,"Usernames, Phone Numbers, Passwords",2183811,Data Leak,Increased Monitoring,Web Exploit,3560,External Report,67,354.82,No,42.23,No,High,Malicious,Unencrypted,Yes,Yes,6.98,4,286.11,Delayed,Press Release
2000-08-10,Target,Germany,Education,Unpatched Software,"Emails, Usernames, Credit Cards",8021015,Unpatched Software,Increased Monitoring,Social Engineering,2842,Security Tool,27,253.39,Yes,2.76,Yes,Low,None,Partially Encrypted,Yes,Yes,-4.8,99,87.81,Never Disclosed,Press Release
2007-10-30,LinkedIn,Germany,Technology,Phishing,"Emails, Credit Cards, SSNs",7126725,Phishing,Fined,Social Engineering,2314,User Report,24,478.54,No,15.43,No,Low,None,Unencrypted,No,No,-34.0,88,245.93,Immediately,SMS
